S.NO,TITLE,TEXT,LINK,LABEL
1,Pradhan Mantri Jan Dhan Yojana (PMJDY),"Hon’ble Prime Minister announced Pradhan Mantri Jan Dhan Yojana as the National Mission on Financial Inclusion in his Independence Day address on 15th August 2014, to ensure comprehensive financial inclusion of all the households in the country by providing universal access to banking facilities with at least one basic bank account to every household, financial literacy, access to credit, insurance and pension facility. Under this, a person not having a savings account can open an account without the requirement of any minimum balance and, in case they self-certify that they do not have any of the officially valid documents required for opening a savings account, they may open a small account. Further, to expand the reach of banking services, all of over 6 lakh villages in the country were mapped into 1.59 lakh Sub Service Areas (SSAs), with each SSA typically comprising of 1,000 to 1,500 households, and in the 1.26 lakh SSAs that did not have a bank branch, Bank Mitras were deployed for branchless banking.

Thus, PMJDY offers unbanked persons easy access to banking services and awareness about financial products through financial literacy programmes. In addition, they receive a RuPay debit card, with inbuilt accident insurance cover of Rs. 2 lakh, and access to overdraft facility upon satisfactory operation of account or credit history of six months. Further, through Prime Minister’s Social Security Schemes, launched by the Hon’ble Prime Minister on 9th May 2015, all eligible account holders can access through their bank accounts personal accident insurance cover under Pradhan Mantri Suraksha Bima Yojana, life insurance cover under Pradhan Mantri Jeevan Jyoti Bima Yojana, and guaranteed minimum pension to subscribers under Atal Pension Yojana.

PMJDY was conceived as a bold, innovative and ambitious mission. Census 2011 estimated that out of 24.67 crore households in the country, 14.48 crore (58.7%) had access to banking services. In the first phase of the scheme, these households were targeted for inclusion through opening of a bank account within a year of launch of the scheme. The actual achievement, by 26th January 2015, was 12.55 crore. As on 27.3.2019, the number of accounts has grown to 35.27 crore. Further, in 2011, only 0.33 lakh SSAs had banking facility and through provision of Bank Mitras in 1.26 lakh branchless SSAs, banking services were extended throughout rural India. The inclusive aspect of this is evident from the fact that 20.90 crore (60%) of PMJDY accounts are in rural areas and 18.74 crore (over 53%) PMJDY account holders are women.

The deposit base of PMJDY accounts has expanded over time. As on 27.3.2019, the deposit balance in PMJDY accounts was Rs. 96,107 crore. The average deposit per account has more than doubled from Rs. 1,064 in March 2015 to Rs. 2,725 in March 2019.

The Bank Mitra network has also gained in strength and usage. The average number of transactions per Bank Mitra, on the Aadhaar Enabled Payment System operated by Bank Mitras, has risen by over eightyfold, from 52 transactions in 2014-15 to 4,291 transactions in 2016-17.

From Jan Dhan to Jan Suraksha
For creating a universal social security system for all Indians, especially the poor and the under-privileged the Hon’ble Prime Minister launched three Social Security Schemes in the Insurance and Pension sectors on 9th of May, 2015.

Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY)
The PMJJBY is available to people in the age group of 18 to 50 years having a bank account who give their consent to join / enable auto-debit. Aadhar is the primary KYC for the bank account. The life cover of Rs. 2 lakh is for the one year period stretching from 1st June to 31st May and is renewable. Risk coverage under this scheme is for Rs. 2 lakh in case of death of the insured, due to any reason. The premium is Rs. 436 per annum which is to be auto-debited in one installment from the subscriber’s bank account as per the option given by him on or before 31st May of each annual coverage period under the scheme. The scheme is being offered by the Life Insurance Corporation and all other life insurers who are willing to offer the product on similar terms with necessary approvals and tie up with banks for this purpose. As on 30.06.2022, cumulative gross enrollment reported by banks subject to verification of eligibility, etc. is over 13.11 crore under PMJJBY. A total of 6,21,372 claims were registered under PMJJBY of which 5,92,192 have been disbursed.

Pradhan Mantri Suraksha Bima Yojana (PMSBY)
The Scheme is available to people in the age group 18 to 70 years with a bank account who give their consent to join / enable auto-debit on or before 31st May for the coverage period 1st June to 31st May on an annual renewal basis. Aadhar would be the primary KYC for the bank account. The risk coverage under the scheme is Rs. 2 lakh for accidental death and full disability and Rs. 1 lakh for partial disability. The premium of Rs.20 per annum is to be deducted from the account holder’s bank account through ‘auto-debit’ facility in one instalment. The scheme is being offered by Public Sector General Insurance Companies or any other General Insurance Company who are willing to offer the product on similar terms with necessary approvals and tie up with banks for this purpose. As on 30.06.2022, cumulative gross enrolment reported by Banks subject to verification of eligibility, etc. is over 29.01 crore under PMSBY. A total of 1,26,505 Claims were registered under PMSBY of which 1,00,052 have been disbursed.

Atal Pension Yojana (APY)
APY was launched on 9th May, 2015 by the Prime Minister. APY is open to all saving bank/post office saving bank account holders in the age group of 18 to 40 years and the contributions differ, based on pension amount chosen.  Subscribers would receive the guaranteed minimum monthly pension of Rs. 1,000 or Rs. 2,000 or Rs. 3,000 or Rs. 4,000 or Rs. 5,000 at the age of 60 years. Under APY, the monthly pension would be available to the subscriber, and after him to his spouse and after their death, the pension corpus, as accumulated at age 60 of the subscriber, would be returned to the nominee of the subscriber. The minimum pension would be guaranteed by the Government, i.e., if the accumulated corpus based on contributions earns a lower than estimated return on investment and is inadequate to provide the minimum guaranteed pension, the Central Government would fund such inadequacy. Alternatively, if the returns on investment are higher, the subscribers would get enhanced pensionary benefits.

In the event of pre-mature death of the subscriber, Government has decided to give an option to the spouse of the subscriber to continue contributing to APY account of the subscriber, for the remaining vesting period, till the original subscriber would have attained the age of 60 years. The spouse of the subscriber shall be entitled to receive the same pension amount as that of the subscriber until the death of the spouse. After the death of both the subscriber and the spouse, the nominee of the subscriber shall be entitled to receive the pension wealth, as accumulated till age 60 of the subscriber. As on 31st March, 2019, a total of 149.53 lakh subscribers have been enrolled under APY with a total pension wealth of Rs. 6,860.30 crore.

Pradhan Mantri Mudra Yojana
The scheme was launched on 8th April 2015. Under the scheme a loan of upto Rs. 50,000 is given under sub-scheme ‘Shishu’; between Rs. 50,000 to 5.0 Lakhs under sub-scheme ‘Kishore’; and between 5.0 Lakhs to 10.0 Lakhs under sub-scheme ‘Tarun’. Loans taken do not require collaterals. These measures are aimed at increasing the confidence of young, educated or skilled workers who would now be able to aspire to become first generation entrepreneurs; existing small businesses, too, will be able to expand their activates. As on 31.03.2019, Rs. 3,21,722 crores sanctioned (Rs. 142,345 cr. - Shishu, Rs. 104,386 cr. Kishore and Rs. 74,991 cr. - Tarun category), in 5.99 crores accounts.

Stand Up India Scheme
Government of India launched the Stand Up India scheme on 5th April, 2016. The Scheme facilitates bank loans between Rs.10 lakh and Rs.1 crore to at least one Scheduled Caste/ Scheduled Tribe borrower and at least one Woman borrower per bank branch for setting up greenfield enterprises. This enterprise may be in manufacturing, services or the trading sector. The scheme which is being implemented through all Scheduled Commercial Banks is to benefit at least 2.5 lakh borrowers. The scheme is operational and the loan is being extended through Scheduled Commercial Banks across the country.

Stand Up India scheme caters to promoting entrepreneurship amongst women, SC & ST category i.e those sections of the population facing significant hurdles due to lack of advice/mentorship as well as inadequate and delayed credit. The scheme intends to leverage the institutional credit structure to reach out to these underserved sectors of the population in starting greenfield enterprises. It caters to both ready and trainee borrowers.

To extend collateral free coverage, Government of India has set up the Credit Guarantee Fund for Stand Up India (CGFSI). Apart from providing credit facility, Stand Up India Scheme also envisages extending handholding support to the potential borrowers. It provides for convergence with Central/State Government schemes. Applications under the scheme can also be made online on the dedicated Stand Up India portal(www.standupmitra.in). As on 31.03.2019, Rs. 16,085 crore has been sanctioned in 72,983 accounts (59,429 – women, 3,103-ST and 10,451 – SC).

Pradhan Mantri Vaya Vandana Yojana
The ‘Pradhan Mantri Vaya Vandana Yojana (PMVVY) has been launched by the Government to protect elderly persons aged 60 years and above against a future fall in their interest income due to uncertain market conditions, as also to provide social security during old age. The scheme is implemented through the Life Insurance Corporation of India (LIC) and open for subscription upto 31st March, 2023.

PMVVY offers an assured rate of return 7.40% per annum for the financial year 2020-21 for policy duration of 10 years. In subsequent years, while the scheme is in operation, there will be annual reset of assured rate of return with effect from April 1st of the financial year in line with applicable rate of return of Senior Citizens Saving Scheme(SCSS) upto a ceiling of 7.75% with fresh appraisal of the scheme on breach of this threshold at any point.

Mode of pension payment under the Yojna is on a monthly, quarterly, half-yearly or annual basis depending on the option exercised by the subscriber. Minimum purchase price under the scheme is Rs. 1,62,162/- for a minimum pension of Rs. 1000/- per month and the maximum purchase price is Rs. 15 lakh per senior citizen for getting a pension amount of Rs. 9,250/- per month.",PM Jan Dhan Yojana: Pros and Cons - Unacademy,TRUE
2,Swachh Bharat Mission (Urban),"The Government of India (GOI) launched the Swachh Bharat Mission (Urban) [SBM (U)], with the vision of ensuring hygiene, waste management and sanitation across the nation, as a tribute to Mahatma Gandhi on his 150th birth anniversary, to be celebrated in the year 2019. SBM (Urban) is being implemented by the Ministry of Housing and Urban Affairs (MHUA).
Key thrust areas of the mission include,
Elimination of open defecation
Eradication of Manual Scavenging by converting insanitary toilets to sanitary
Modern and Scientific Municipal Solid Waste Management
Effecting behavioural change regarding healthy sanitation practices
Awareness generation about sanitation and its linkage with public health
Capacity Augmentation for Urban Local Bodies (ULBs) to create an enabling environment for private sector participation
The mission also focuses on improving the levels of cleanliness through Solid Waste Management activities.
The mission targets coverage of all statutory towns.
It is important to note that the Open Defecation Free (ODF) city/ward is the ultimate outcome envisaged under SBM (U). A city / ward can be notified/ declared as ODF city/ ODF ward if, at any point of the day, not a single person is found defecating in the open.",https://dmsouthwest.delhi.gov.in/schemes/,TRUE
3,Congress Accuses Narendra Modi Of Giving False Assurances To Farmers In Mann Ki Baat,"Home News
Congress Accuses Narendra Modi Of Giving False Assurances To Farmers In Mann Ki Baat
The farmers have now come to a conclusion that both Modi and unseasonal rains are responsible for the bad conditio
Published: March 22, 2015 5:14 PM IST

By ANI 

   
Follow Us


TRENDING NOW

Kaithal (Haryana), Mar 22: Congress on Sunday said that Prime Minister Narendra Modi has given ‘false assurances’ to the farmers in his ‘Mann ki baat’ address and alleged that the latter is attempting to justify the amended Land Acquisition Bill, which is meant to benefit only the capitalists. “Prime Minister’s ‘Maan ki baat’ today turned out to be a lie and was proved to be for capitalists. The farmers have now come to a conclusion that both Modi and unseasonal rains are responsible for the bad condition. Instead of giving compensation for those affected of hailstorm and rain, he has just given false assurances,” Congress spokesperson Randeep Surjewala told ANI. (ALSO READ: Pained by farmers’ woes, says Narendra Modi in Mann Ki Baat)

“We would like to ask Prime Minister Modi why his government destroyed the soul and body of 2013 Land Acquisition Bill. The new law is for capitalists, and to justify that they are making false promises, and telling lies,” he added. Speaking to farmers on sixth edition of the radio programme ‘Mann ki baat’ earlier in the day, Prime Minister Narendra Modi had said that the amendments in the Land Acquisition Bill were made for welfare of people and villages. “We felt that there was a need to bring some amendments in the law, we only wish for welfare of people and villages. If states have objection to amendments in Land Acquisition Bill, they can continue with the old law,” Prime Minister Modi said in ‘ Mann ki baat’.

“I assure all my farmer brothers that I will alert all state governments as well as all departments in the Central Government over the issues that you have raised…..I have said in Parliament, that if someone still feels some changes are required, we are willing to take up suggestions. We are emphasizing on health of mother land as well, which is why we’ve started soil health card scheme. I assure you that I will not break your trust,” he added.",https://www.india.com/news/india/congress-accuses-narendra-modi-of-giving-false-assurances-to-farmers-in-mann-ki-baat-326115/,FALSE
4,Inefficiency Of Government  on national schemes,"Bureaucracy is lazy and has all the paper rules to put spanners in the works. As bureaucracy is an important functionary for implementing schemes and policy. Political executive is to were to making policy, administration is to implement policy. Majority of government officials are just not to fit to carry out their duties correctly& diligently.
They are just not serious in carrying out their work. Only 10 percent of total grants actually can be used for any scheme implementation, rest of 90 percent goes in pay and other allowances & sundry contingencies. The failure of some programmes, like the mid-day meal programme in Madhya Pradesh, the integrated child development programme in Bihar, etc. and NAREGA in Maharashtra, Madhya Pradesh, and Odisha are examples of those that have failed due to improper monitoring, a lack of accountability, misaligned incentives, and corruption.",Failure Of Implementing Schemes And Policy In India,FALSE
5,Sarva Shiksha Abhiyaan,"Sarva Shiksha Abhiyan is an important government flagship scheme that aims to universalize elementary education. It aims to provide free and compulsory education to all children in the age group 6-14 years in a time-bound manner.
Sarva Shiksha Abhiyan is one of the most important topics for the UPSC IAS exam. It covers a significant part of Social Justice in the General Studies Paper-2 syllabus. In this article, we shall study in detail an overview of the Sarva Shiksha Abhiyan, its main objectives, aims, functions, features, and its importance for the UPSC exam.",https://testbook.com/ias-preparation/sarva-shiksha-abhiyan,TRUE
6,National Rural Health Mission Scam: CBI raids in 22 districts,"LUCKNOW: CBI conducted raids in 22 district on Friday as part of its investigation into the NRHM scam, which has claimed five lives till now. It also lodged four fresh FIRs in the 10,000-crore scam that rocked the Mayawati government last year. Among those named in the FIR are doctors, health department officials and medicine suppliers. With this the total number of cases registered in regards to the NRHM scam is 12. The NRHM scam came into the open after chief medical officer, family welfare, Vinod Kumar Arya, was killed in broad daylight on October 2010. This was soon followed by the killing of CMO BP Singh outside his home on April 2, 2011. In its bid to cover up the scam, the police under pressure from higher ups framed deputy CMO YS Sachan for getting the two doctors killed and he was sent to prison. But on June 22, 2011, Dr Sachan was also found dead inside the jail premises, with the police trying ..",https://m.economictimes.com/news/politics-and-nation/national-rural-health-mission-scam-cbi-raids-in-22-districts/articleshow/12026906.cms,FALSE
7,Integrated Child Development Scheme,"India must strengthen its existing social sector schemes, such as the Integrated Child Development Services (ICDS), to tackle high prevalence of stunting, wasting, and anemia.
About  Integrated Child Development Services Scheme:
ICDS Scheme is a flagship program of the Government of India that aims to improve the health, nutrition, and development of children aged 0-6 years. 
The ICDS Scheme was launched in 1975.
It is implemented by the Ministry of Women and Child Development. 
It operates through a vast network of Anganwadi centers, which are grassroots-level service delivery points in both rural and urban areas.
Key Features of the ICDS Scheme:
Improving the Nutritional and Health Status of Children: It provides a package of services that include supplementary nutrition, immunization, health check-ups, and referral services.
Enhancing the Cognitive and Social Development of children: The scheme provides non-formal pre-school education to children aged 3-6 years to promote early learning and school readiness. 
Promoting the Overall Development of Children: The scheme emphasizes the holistic development of children by providing access to early childhood care and development services.
Empowering Women and Promoting Gender Equality: The ICDS Scheme promotes gender equality by providing equal opportunities for girls in education and nutrition",https://pwonlyias.com/editorial-analysis/integrated-child-development-services-scheme/,TRUE
8,Mid-Day Meal (MDM) Scheme,"The team’s visit comes days after Leader of Opposition Suvendu Adhikari alleged that funds allocated for the mid-day meal scheme were diverted to other schemes. Mr. Adhikari alleged that Chief Minister Mamata Banerjee diverted funds allotted for the mid-day meal scheme to compensate the survivors of the Bogtui violence. He said that he will bring the matter to the notice of Union Education Minister Dharmendra Pradhan. Apart from allegations of fund irregularities in the scheme, there have also been reports of unhygienic practices during the preparation of meals.

Under the PM Poshan scheme, the Union Government had recently allocated ?372 crore to the State in order to provide nutrition to school students. The State’s Education Minister Bratya Basu said that the Centre, upon being impressed by the performance of the State in the implementation of the mid-day meal scheme, released additional funds to the tune of ?250 crore to the School Education Department for infrastructure development.

Prior to this, the Union government had sent over teams to oversee the implementation of the MGNREGA scheme in the State and to look into the alleged irregularities in the PM Awas Yojana scheme.

The Trinamool Congress had described sending central teams to the State as an act of “political vendetta. “On the one hand, the Centre is blocking funds to West Bengal, and on the other hand, they are sending such teams to the State,” Trinamool Rajya Sabha MP Santanu Sen said.

Minister and senior Trinamool Congress leader Firhad Hakim said that the children of the women who cook the meals also eat the same food and asked how can a mother cook unhygienic food for her children.",https://www.thehindu.com/news/national/other-states/central-team-starts-review-of-midday-meal-scheme-in-west-bengal/article66449846.ece,FALSE
9,Beti Bachao Beti Phadao (BBBP),"The scheme was launched after the national census results for 2011 revealed detraction in key gender metrics – Child Sex Ratio (CSR) and Sex Ratio at Birth (SRB). CSR is defined as the number of girls per 1,000 boys aged 0-6 years. This ratio has showcased a steady decline, from 945 in 1999 to 927 in 2001. This declined further to 918 girls for every 1,000 boys in 2011. Detailed evaluation of the decline showed that SRB was the principal factor. Dip in these ratios is a significant indicator of gender discrimination and women disempowerment, reflecting both pre-birth discrimination through gender-biased, sex selective abortion and post-birth discrimination by neglecting health, nutrition, and educational needs of the girl child. Research concluded that the strong socio-cultural and religious preference for boys was the root cause of the problem and this provided impetus for launch of the BBBP initiative.",https://www.ibef.org/government-schemes/beti-bachao-beti-padhao,TRUE
10,e-National Agriculture Market (e-NAM) Scheme,"National Agriculture Market (eNAM) is a pan-India electronic trading portal which networks the existing APMC mandis to create a unified national market for agricultural commodities.Small Farmers Agribusiness Consortium (SFAC) is the lead agency for implementing eNAM under the aegis of Ministry of Agriculture and Farmers’ Welfare, Government of India.VISION",https://www.enam.gov.in/,FALSE
